Inflacion
1.34
0.89
0.55
0.57
0.37
0.59
0.39
0.55
0.73
0.69
0.86
1.08
0.55
-0.07
0.63
0.5
0.23
0.24
-0.26
0.59
0.93
0.45
0.38
0.14
0.92
-0.06
0.51
0.55
0.2
0.49
0.29
0.38
0.6
0.44
0.81
0.44
0.4
0.28
0.63
0.17
-0.32
0.08
0.14
0.3
0.6
0.37
0.83
0.43
0.62
0.6
0.34
0.15
-0.25
0.16
0.26
0.62
0.83
0.69
0.85
0.21
0
0.33
0.45
0.36
-0.25
-0.1
0.39
0.12
0.4
0.25
0.72
0.61
0.59
0.15
0.13
0.15
-0.45
0.09
0.27
0.51
1.01
0.44
0.52
0.58
0.52
0.28
0.22
-0.06
-0.49
0.12
0.42
0.41
0.78
0.39
0.71
0.41
0.46
0.3
0.72
0.23
-0.11
0.41
0.56
0.58
0.68
0.68
1.14
0.69
0.23
0.22
0.58
0.35
-0.29
0.18
0.27
0.24
0.5
0.3
0.52
0.41
1.09
0.58
0.71
-0.32
-0.63
-0.03
0.22
0.28
0.52
0.62
0.8
0.5
0.49
0.38
0.19
-0.01
-0.74
0
0.48
0.16
0.25
0.67
1.08
0.82
0.71
0.2
0.06
-0.31
-0.32
0.46
0.56
0.3
0.44
0.51
0.68
0.23
0.4
0.49
0.73
0.07
-0.33
-0.06
-0.03
0.28
0.38
0.48
0.93
0.57
0.89
0.25
0.27
-0.19
-0.32
0.17
0.28
0.36
0.44
0.55
0.81
0.49
-0.09
0.19
0.41
-0.26
-0.5
0.17
0.15
0.21
0.37
0.51
0.55
0.41
0.38
0.44
0.15
-0.32
-0.45
0.11
0.26
0.28
0.61
0.61
0.78
0.46
1.7
0.58
0.61
0.12
-0.12
0.25
0.38
0.49
0.31
0.63
1.03
0.59
0.53
0.38
0.32
-0.34
-0.16
0.39
0.54
0.58
0.42
0.52
0.85
0.7
0.09
-0.03
0.39
0.05
-0.29
0.06
0.38
-0.02
0.26
0.54
0.81
0.56
0.48
0.42
-0.05
-1.01
0.38
0.55
0.66
0.39
0.23
0.61
0.08
0.38
0.86
0.63
0.83
0.33
0.2
0.53
0.59
0.19
0.62
0.84
1.14
0.36
