school_id,student_id,sex,yob,died_y3,married_y3,children_y3,preg_y3,dropout_y3,visit_month_y3,trt_school,died_y5,married_y5,children_y5,preg_y5,dropout_y5,visit_month_y5
2,260028,1,1989,0,0,0,0,0,9,0,0,0,0,0,0,3
2,260029,1,1990,0,0,0,0,0,9,0,0,0,0,0,0,3
2,260030,1,1991,0,0,0,0,0,9,0,0,0,0,1,0,3
2,260031,1,1987,0,1,1,1,1,9,0,0,1,1,1,1,3
2,260032,1,1991,0,0,0,0,0,9,0,0,0,0,0,0,3
2,260033,1,1989,.,0,0,0,0,9,0,.,0,0,0,0,3
2,260034,1,1989,0,0,0,0,0,9,0,0,0,0,0,0,3
2,260035,1,1990,0,0,0,0,0,9,0,0,0,0,0,0,3
2,260036,0,1989,0,0,.,.,0,9,0,0,1,.,.,0,3
3,360001,1,1989,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360002,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360003,1,1989,0,0,0,0,0,9,1,.,.,.,.,0,3
3,360004,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360005,1,1989,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360006,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360007,1,1990,0,0,0,0,0,9,1,.,.,.,.,0,3
3,360008,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360009,1,1989,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360010,1,1989,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360011,1,1991,0,0,0,0,0,9,1,.,.,.,.,0,3
3,360012,1,1991,0,0,0,0,0,9,1,.,.,.,.,1,3
3,360013,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360014,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360015,1,1989,0,0,0,0,0,9,1,.,.,.,.,0,3
3,360016,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360017,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360018,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360019,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360024,1,1989,0,0,0,0,0,9,1,0,0,0,1,0,3
3,360025,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360026,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360027,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360028,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360029,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360030,1,1990,0,0,0,0,0,9,1,.,.,.,.,0,3
3,360031,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360032,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360033,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360034,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
